Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
tajikistan,58,1.17,1.72%,33.82%,00:02:08,3.00
TAX DISC,58,1.19,5.17%,13.04%,00:01:12,1.71
theory practice,58,1.07,3.45%,9.68%,00:02:32,1.88
turkmenistan,58,1.16,3.45%,53.73%,00:01:53,2.69
unemployment benefits,58,1.31,15.52%,18.42%,00:06:18,4.16
whistle blowing,58,1.57,13.79%,13.19%,00:04:03,3.47
writing a cv,58,1.16,74.14%,7.46%,00:01:01,0.66
affordable warmth,57,1.30,29.82%,33.78%,00:02:45,1.19
army,57,1.23,29.82%,30.00%,00:01:31,1.56
ATF,57,1.19,8.77%,7.35%,00:01:34,2.49
benefits cap,57,1.18,3.51%,19.40%,00:05:57,4.51
buying a car,57,1.28,17.54%,21.92%,00:03:29,3.46
carbon footprint,57,1.28,26.32%,39.73%,00:01:45,1.28
civil service,57,1.28,21.05%,31.51%,00:03:03,2.16
codes of practice,57,1.42,12.28%,53.09%,00:03:03,1.65
community infrastructure levy,57,1.81,19.30%,8.74%,00:03:05,2.61
company car tax,57,1.14,8.77%,10.77%,00:02:38,2.77
consent order,57,1.05,14.04%,40.00%,00:04:07,2.05
D46P,57,1.44,10.53%,21.95%,00:06:11,3.75
DBS checks,57,1.49,3.51%,15.29%,00:04:07,4.30
DBS code of practice,57,1.23,7.02%,27.14%,00:05:40,3.00
dss,57,1.30,22.81%,33.78%,00:02:29,2.26
ehic cards,57,1.30,63.16%,12.16%,00:01:53,0.67
Francis report,57,1.42,21.05%,13.58%,00:01:37,1.68
inf4d,57,1.53,26.32%,33.33%,00:02:56,2.11
IT,57,1.26,14.04%,44.44%,00:01:21,2.11
IVA,57,1.21,7.02%,20.29%,00:05:58,3.98
Jury service,57,1.23,10.53%,12.86%,00:03:20,4.47
kosovo,57,1.09,15.79%,43.55%,00:02:14,2.42
LHA,57,1.16,17.54%,28.79%,00:03:35,2.46
LOG IN,57,1.05,7.02%,36.67%,00:02:23,2.26
mock test,57,1.26,7.02%,19.44%,00:03:09,2.12
non medical prescribing,57,1.40,24.56%,42.50%,00:01:38,1.44
painter,57,1.44,17.54%,17.07%,00:03:37,2.19
paper license,57,1.16,5.26%,34.85%,00:03:41,2.25
patient safety,57,1.39,10.53%,22.78%,00:03:04,3.35
payroll,57,1.23,24.56%,32.86%,00:03:24,4.05
pest control,57,1.26,10.53%,16.67%,00:03:09,2.32
prevent,57,1.23,7.02%,37.14%,00:02:19,2.60
ragwort,57,1.46,14.04%,8.43%,00:02:19,1.82
record keeping,57,1.33,5.26%,42.11%,00:03:31,3.35
regional growth fund,57,1.32,17.54%,25.33%,00:03:07,2.18
register birth,57,1.32,0.00%,26.67%,00:05:00,5.19
road markings,57,1.54,5.26%,23.86%,00:04:50,4.26
sc3,57,1.37,5.26%,19.23%,00:03:22,4.63
selling,57,1.25,8.77%,42.25%,00:02:05,3.51
SME,57,1.51,5.26%,29.07%,00:03:26,4.07
social funds,57,1.28,15.79%,31.51%,00:02:37,3.14
sp30,57,1.14,12.28%,18.46%,00:01:53,2.72
Sri Lanka,57,1.12,3.51%,23.44%,00:04:40,3.75
sustainability,57,1.56,22.81%,32.58%,00:02:17,2.07
Training,57,1.26,21.05%,30.56%,00:04:12,2.75
uniform tax,57,1.37,8.77%,30.77%,00:02:10,3.63
V10 form,57,1.21,8.77%,33.33%,00:02:52,1.46
V756,57,1.51,7.02%,31.40%,00:02:09,2.32
Vehicle check,57,1.09,14.04%,11.29%,00:01:52,1.89
widows,57,1.23,12.28%,38.57%,00:02:44,3.89
working together to safeguard children,57,1.42,17.54%,32.10%,00:02:04,2.07
accident and emergency,56,1.89,19.64%,21.70%,00:03:39,2.55
adult learning grant,56,1.43,12.50%,13.75%,00:04:19,3.95
aviation security,56,1.36,10.71%,30.26%,00:03:59,3.36
bodrum,56,1.36,21.43%,17.11%,00:02:49,1.89
breaks at work,56,1.11,3.57%,27.42%,00:02:58,3.88
Cbt,56,1.21,10.71%,16.18%,00:02:30,4.88
certificate of entitlement,56,1.20,26.79%,38.81%,00:01:47,1.79
changes,56,1.16,17.86%,52.31%,00:02:22,1.82
claim state pension,56,1.14,1.79%,18.75%,00:05:06,3.39
code of conduct,56,1.25,16.07%,44.29%,00:03:18,1.91
contact information,56,1.18,14.29%,36.36%,00:03:48,2.18
courts,56,1.29,10.71%,38.89%,00:02:55,3.21
decommissioning,56,1.29,12.50%,31.94%,00:04:05,1.86
doctors,56,1.09,19.64%,44.26%,00:01:10,1.75
Dsa,56,1.14,7.14%,37.50%,00:03:26,3.36
dvla forms,56,1.23,3.57%,42.03%,00:02:33,2.12
esa contact number,56,1.11,1.79%,17.74%,00:02:38,2.73
ex321,56,1.34,19.64%,36.00%,00:04:12,3.09
falls,56,1.18,21.43%,56.06%,00:00:53,1.50
faqs,56,1.30,14.29%,38.36%,00:02:24,2.41
flood,56,1.30,17.86%,31.51%,00:02:04,2.12
health inequalities,56,1.46,14.29%,28.05%,00:03:26,1.62
help with health costs,56,1.21,50.00%,26.47%,00:03:24,1.39
Housing Benefit,56,1.11,5.36%,32.26%,00:06:46,4.54
ITIL,56,1.25,25.00%,10.00%,00:01:21,1.21
Japan,56,1.23,3.57%,37.68%,00:03:23,4.14
JOBSEARCH,56,1.04,7.14%,8.62%,00:01:19,1.21
know before you go,56,1.54,8.93%,19.77%,00:03:38,3.32
latvia,56,1.14,8.93%,40.62%,00:03:47,3.93
learning to drive,56,1.38,8.93%,18.18%,00:02:19,3.07
married,56,1.30,10.71%,39.73%,00:04:08,4.25
mauritania,56,1.18,0.00%,63.64%,00:02:45,3.02
nova,56,1.23,17.86%,14.49%,00:02:24,3.07
parliament,56,1.11,28.57%,30.65%,00:01:41,1.52
passport charges,56,1.11,1.79%,16.13%,00:01:30,1.93
pcword in glasgow,56,1.30,98.21%,1.37%,00:02:10,0.95
pension credit age,56,1.25,5.36%,18.57%,00:03:29,5.39
public appointments,56,1.46,14.29%,17.07%,00:02:02,1.79
questions,56,1.18,14.29%,51.52%,00:02:58,2.12
Radon,56,1.38,33.93%,25.97%,00:01:31,1.23
severance pay,56,1.45,28.57%,20.99%,00:02:57,4.14
Statutory Sick Pay,56,1.21,1.79%,22.06%,00:05:08,4.80
student grant,56,1.38,7.14%,15.58%,00:06:41,6.55
support allowance,56,1.16,3.57%,32.31%,00:06:34,4.77
track my application,56,1.12,1.79%,11.11%,00:02:49,1.98
widowed parents allowance,56,1.14,7.14%,20.31%,00:05:05,4.70
work choice,56,1.50,3.57%,15.48%,00:05:52,5.96
abortion,55,1.35,14.55%,18.92%,00:03:02,2.45
accounts,55,1.13,23.64%,43.55%,00:01:31,1.36
adoption pay,55,1.13,3.64%,25.81%,00:04:40,4.51
AIFMD,55,1.27,9.09%,7.14%,00:04:54,3.11
api,55,1.25,23.64%,27.54%,00:02:54,1.78
bar staff,55,1.13,23.64%,22.58%,00:00:31,1.38
bristol,55,1.15,32.73%,34.92%,00:02:01,1.60
care home fees,55,1.16,21.82%,45.31%,00:01:35,1.16
catalonia,55,1.18,9.09%,7.69%,00:01:29,1.82
change theory test,55,1.22,1.82%,8.96%,00:02:42,1.84
child employment,55,1.38,7.27%,19.74%,00:05:33,3.65
Child support,55,1.20,7.27%,13.64%,00:04:27,3.71
CQUIN,55,1.58,5.45%,34.48%,00:02:30,1.89
culture,55,1.09,12.73%,25.00%,00:04:37,3.31
dental treatment,55,1.33,21.82%,38.36%,00:02:21,1.89
department for education,55,1.16,7.27%,23.44%,00:05:27,5.05
dfe,55,1.16,9.09%,43.75%,00:03:20,3.96
Disclosure,55,1.35,10.91%,21.62%,00:04:37,2.65
dna,55,1.45,1.82%,25.00%,00:02:29,2.47
driver number,55,1.13,20.00%,38.71%,00:06:34,3.09
employee,55,1.05,12.73%,60.34%,00:03:26,2.58
equitable life,55,1.58,20.00%,5.75%,00:02:44,1.95
farming,55,1.29,16.36%,36.62%,00:01:35,1.56
forced marriage,55,1.49,12.73%,17.07%,00:04:56,2.65
grant of probate,55,1.31,7.27%,8.33%,00:06:32,4.47
id cards,55,1.27,25.45%,20.00%,00:01:53,2.00
industrial strategy,55,1.24,1.82%,10.29%,00:04:27,5.07
judicial review,55,1.53,34.55%,21.43%,00:01:50,1.73
june survey,55,1.13,18.18%,24.19%,00:01:12,1.04
leadership,55,1.24,21.82%,39.71%,00:01:53,1.51
lost paper counterpart,55,1.13,18.18%,20.97%,00:02:48,1.91
matb1,55,1.29,9.09%,15.49%,00:02:06,3.11
Mobility,55,1.20,9.09%,36.36%,00:04:18,3.51
mobility scooter,55,1.45,10.91%,25.00%,00:03:39,4.31
NATIONAL INSURANCE NUMBER,55,1.18,1.82%,15.38%,00:03:09,2.20
niger,55,1.15,1.82%,65.08%,00:03:49,2.75
north cyprus,55,1.29,9.09%,23.94%,00:01:48,3.02
online tracking,55,1.16,12.73%,39.06%,00:01:42,1.93
plumber,55,1.24,9.09%,10.29%,00:01:22,1.35
queens birthday honours,55,1.24,1.82%,14.71%,00:02:55,2.71
redundacy,55,1.22,9.09%,10.45%,00:07:06,8.42
referral form,55,1.31,0.00%,20.83%,00:02:41,2.96
registered keeper,55,1.18,12.73%,32.31%,00:02:30,1.87
Renewal,55,1.11,10.91%,59.02%,00:01:41,1.11
reporting fraud,55,1.27,12.73%,12.86%,00:02:08,1.64
reset password,55,1.16,7.27%,15.62%,00:05:30,2.42
right to acquire,55,1.22,7.27%,20.90%,00:03:12,2.89
ripa,55,1.27,21.82%,22.86%,00:02:47,2.27
risk,55,1.31,14.55%,51.39%,00:02:15,2.25
sda,55,1.13,18.18%,64.52%,00:01:10,0.85
selling car,55,1.22,16.36%,34.33%,00:02:18,2.11
simple payment,55,1.13,5.45%,12.90%,00:02:29,1.56
statutory redundancy pay,55,1.40,7.27%,14.29%,00:04:11,6.20
study abroad,55,1.31,23.64%,33.33%,00:03:09,2.25
universities,55,1.18,16.36%,46.15%,00:03:09,3.36
v5c form,55,1.35,14.55%,17.57%,00:01:58,1.82
varicella,55,1.11,3.64%,13.11%,00:02:14,1.49
visa form,55,1.33,10.91%,30.14%,00:01:43,1.71
welder,55,1.16,20.00%,9.38%,00:01:30,1.87
additional passport,54,1.19,20.37%,26.56%,00:03:03,1.87
audit,54,1.33,7.41%,41.67%,00:02:24,1.91
births,54,1.43,14.81%,19.48%,00:03:34,2.94
breast feeding,54,1.24,27.78%,40.30%,00:01:53,1.72
careers allowance,54,1.07,9.26%,41.38%,00:03:01,3.33
change for life,54,1.11,40.74%,28.33%,00:01:26,1.09
charges,54,1.20,7.41%,56.92%,00:01:32,2.20
claims,54,1.20,9.26%,44.62%,00:02:07,1.94
consumer,54,1.35,9.26%,24.66%,00:02:10,2.37
council housing,54,1.43,14.81%,16.88%,00:04:45,4.63
curriculum,54,1.35,16.67%,27.40%,00:02:17,3.43
dbs guidance,54,1.20,5.56%,27.69%,00:02:16,3.13
deprivation of liberty safeguards,54,1.93,14.81%,24.04%,00:03:46,3.00
discretionary housing payment,54,1.31,16.67%,18.31%,00:04:02,3.67
dla rates,54,1.28,16.67%,17.39%,00:04:54,3.41
E111 card,54,1.07,70.37%,18.97%,00:01:12,0.37
ebay,54,1.22,74.07%,0.00%,00:00:57,0.50
epetitions,54,1.15,11.11%,17.74%,00:00:44,1.48
eviction,54,1.28,5.56%,18.84%,00:05:59,4.85
feed in tariffs,54,1.72,20.37%,7.53%,00:03:53,2.91
Food,54,1.30,12.96%,28.57%,00:02:53,3.43
gas,54,1.46,18.52%,39.24%,00:03:52,3.52
going on holiday,54,1.19,16.67%,40.62%,00:02:37,2.31
historic vehicles,54,1.63,11.11%,19.32%,00:03:57,3.41
HPV,54,1.83,14.81%,14.14%,00:01:59,2.57
Immunisation,54,1.39,7.41%,25.33%,00:05:08,4.13
inf38,54,1.19,20.37%,40.62%,00:05:32,3.87
international pension centre,54,1.30,3.70%,21.43%,00:06:23,3.70
interviews,54,1.24,42.59%,19.40%,00:02:31,2.76
IPS,54,1.59,20.37%,24.42%,00:02:12,2.91
legalise,54,1.44,1.85%,16.67%,00:06:49,5.57
limited capability for work,54,1.30,11.11%,28.57%,00:03:47,2.04
looking for work,54,1.28,18.52%,24.64%,00:03:03,2.67
motorhome,54,1.28,7.41%,39.13%,00:03:37,4.52
national speed limit,54,1.30,16.67%,17.14%,00:03:01,2.19
NPPF,54,1.26,14.81%,50.00%,00:02:29,3.06
organogram,54,1.50,5.56%,45.68%,00:02:25,2.81
personal independence payments,54,1.39,9.26%,26.67%,00:05:17,5.24
posting a job,54,1.07,3.70%,6.90%,00:03:01,1.94
pprs,54,1.41,12.96%,25.00%,00:05:54,3.11
QIPP,54,1.31,25.93%,23.94%,00:03:52,2.48
running a limited company,54,1.19,5.56%,82.81%,00:02:26,2.22
salary,54,1.30,12.96%,25.71%,00:02:40,4.02
short term advance,54,1.31,18.52%,50.70%,00:03:15,2.04
social loan,54,1.35,3.70%,15.07%,00:04:33,5.81
social media,54,1.43,20.37%,33.77%,00:02:26,1.94
Student loan,54,1.22,9.26%,9.09%,00:03:12,4.61
supporting an application,54,1.09,11.11%,33.90%,00:03:39,3.20
swansea,54,1.11,16.67%,18.33%,00:01:13,1.37
transgender,54,1.43,14.81%,28.57%,00:04:50,2.83
under occupancy,54,1.48,14.81%,35.00%,00:03:40,2.15
budgeting loan phone number,53,1.34,28.30%,22.54%,00:02:32,3.43
building regs,53,1.15,28.30%,34.43%,00:01:10,1.15
Carers Allowance,53,1.19,13.21%,22.22%,00:04:17,3.62
change4life,53,1.55,26.42%,19.51%,00:03:38,1.94
cni,53,1.55,7.55%,31.71%,00:03:57,2.51
codes,53,1.19,1.89%,47.62%,00:02:40,2.26
compromise agreement,53,1.42,20.75%,32.00%,00:03:16,2.79
dbs continuation form,53,1.28,7.55%,35.29%,00:02:25,3.04
Diabetes,53,1.57,20.75%,21.69%,00:03:11,3.02
drivers hours,53,1.36,1.89%,16.67%,00:04:44,3.40
drivers license,53,1.06,11.32%,35.71%,00:04:51,3.43
energy company obligation,53,1.64,5.66%,18.39%,00:05:46,4.26
esa1,53,1.30,1.89%,26.09%,00:02:26,2.85
exporting,53,1.66,15.09%,32.95%,00:03:26,3.25
fixed term contracts,53,1.04,9.43%,18.18%,00:03:34,3.53
google.com,53,1.55,43.40%,20.73%,00:04:43,1.25
haiti,53,1.21,5.66%,28.12%,00:03:14,3.19
hold luggage,53,1.13,39.62%,21.67%,00:00:47,1.15
housing grants,53,1.47,30.19%,33.33%,00:03:42,3.43
impact assessment,53,1.42,9.43%,24.00%,00:03:22,3.53
it,53,1.28,16.98%,39.71%,00:01:24,1.92
log books,53,1.19,13.21%,12.70%,00:02:26,2.55
lunch break,53,1.13,5.66%,21.67%,00:03:02,3.13
mobile phones,53,1.32,11.32%,17.14%,00:02:52,2.49
motorcycle licence,53,1.28,3.77%,13.24%,00:04:15,5.09
nhs pensions,53,1.60,20.75%,24.71%,00:06:38,3.38
paraguay,53,1.26,5.66%,32.84%,00:04:19,3.02
Pets,53,1.28,5.66%,13.24%,00:05:28,4.62
photographs,53,1.23,7.55%,18.46%,00:02:12,2.62
plan your journey,53,1.15,20.75%,4.92%,00:01:27,1.08
Prague,53,1.25,26.42%,12.12%,00:01:25,1.87
public liability insurance,53,1.23,37.74%,29.23%,00:02:22,1.51
redundant,53,1.21,15.09%,23.44%,00:07:47,5.45
reference,53,1.11,16.98%,20.34%,00:01:49,1.74
replace driving licence,53,1.04,0.00%,10.91%,00:06:20,2.34
replacement birth certificate,53,1.34,1.89%,14.08%,00:02:44,2.38
residence permit,53,1.49,24.53%,25.32%,00:02:46,2.15
right of way,53,1.19,16.98%,30.16%,00:03:18,4.74
Sanctions,53,1.28,13.21%,25.00%,00:03:16,2.08
shared services,53,1.57,13.21%,21.69%,00:04:14,2.92
slovakia,53,1.19,1.89%,47.62%,00:02:53,2.66
support for mortgage interest,53,1.13,3.77%,35.00%,00:08:47,5.70
support worker,53,1.11,15.09%,18.64%,00:01:57,1.57
turkey travel advice,53,1.09,1.89%,13.79%,00:04:21,4.51
visit visa,53,1.23,13.21%,23.08%,00:01:25,1.66
work breaks,53,1.23,3.77%,15.38%,00:04:21,5.38
zero hours,53,1.30,16.98%,18.84%,00:03:20,4.21
apostille stamp,52,1.25,11.54%,23.08%,00:05:04,4.42
application completion form,52,1.46,13.46%,23.68%,00:05:43,4.44
approved documents,52,1.21,21.15%,28.57%,00:02:04,2.54
baby,52,1.40,19.23%,20.55%,00:02:51,3.67
bailiff,52,1.21,3.85%,11.11%,00:03:49,2.37
bank account,52,1.13,36.54%,35.59%,00:00:59,1.31
bbc,52,1.58,19.23%,13.41%,00:02:14,2.98
belfast,52,1.17,25.00%,36.07%,00:01:55,3.19
BENEFITS,52,1.17,11.54%,40.98%,00:03:58,2.98
birth registration,52,1.19,1.92%,33.87%,00:05:50,5.60
boiler grant,52,1.29,7.69%,20.90%,00:03:29,5.35
c100,52,1.17,3.85%,27.87%,00:03:54,4.04
Cancellations,52,1.15,21.15%,30.00%,00:02:35,1.67
cars,52,1.19,23.08%,35.48%,00:02:55,3.08
change of use,52,1.15,23.08%,38.33%,00:01:33,2.19
CIL,52,1.12,5.77%,72.41%,00:01:50,0.96
contribution based jsa,52,1.33,9.62%,18.84%,00:03:45,4.04
court order,52,1.27,23.08%,28.79%,00:03:28,2.58
criminal records,52,1.52,15.38%,21.52%,00:03:26,3.79
disposals,52,1.23,23.08%,39.06%,00:02:19,1.12
driving test cancellations,52,1.29,17.31%,20.90%,00:02:29,2.42
drug,52,1.60,9.62%,21.69%,00:05:09,3.31
ESTA,52,1.23,32.69%,6.25%,00:02:14,1.87
eygpt,52,1.33,15.38%,43.48%,00:01:00,1.56
fishing licence,52,1.21,15.38%,11.11%,00:02:32,1.60
gabon,52,1.35,9.62%,48.57%,00:02:25,2.65
gardening,52,1.52,17.31%,22.78%,00:03:56,4.65
governance,52,1.17,13.46%,47.54%,00:02:53,2.46
holiday entitlements,52,1.13,3.85%,30.51%,00:06:23,6.58
illness,52,1.37,13.46%,36.62%,00:03:42,4.29
ins160,52,1.37,17.31%,46.48%,00:04:14,1.79
Insurance,52,1.08,28.85%,30.36%,00:01:08,1.35
interns,52,1.38,3.85%,16.67%,00:03:11,2.92
invoice,52,1.19,17.31%,14.52%,00:02:36,2.69
licence categories,52,1.29,3.85%,20.90%,00:06:44,3.94
living wage,52,1.17,38.46%,18.03%,00:00:55,1.50
localism act,52,1.54,9.62%,27.50%,00:02:19,2.37
Longer lives,52,1.19,21.15%,9.68%,00:01:51,1.50
Lost licence,52,1.40,1.92%,13.70%,00:07:19,2.67
Ls01,52,1.15,9.62%,20.00%,00:01:59,2.50
ma1 form,52,1.15,3.85%,28.33%,00:04:04,3.08
marketing plan,52,1.25,26.92%,20.00%,00:02:19,2.15
marriage certificates,52,1.29,5.77%,14.93%,00:02:41,2.46
never events,52,1.31,3.85%,10.29%,00:01:35,1.73
overpayment,52,1.46,9.62%,27.63%,00:04:27,4.63
Paternity pay,52,1.08,0.00%,17.86%,00:05:24,3.90
pay scales,52,1.37,23.08%,57.75%,00:00:41,0.87
permitted development rights,52,1.63,21.15%,22.35%,00:03:39,2.31
Pet passport,52,1.19,3.85%,8.06%,00:03:00,3.83
pip form,52,1.06,5.77%,25.45%,00:03:50,5.71
population,52,1.29,23.08%,52.24%,00:01:28,0.96
protocol,52,1.33,23.08%,43.48%,00:02:47,1.69
quality,52,1.40,17.31%,43.84%,00:03:18,2.40
radiation,52,1.27,17.31%,37.88%,00:02:14,1.75
resilience,52,1.71,13.46%,26.97%,00:04:11,3.75
returning to work after maternity leave,52,1.35,21.15%,22.86%,00:03:26,3.58
revoked,52,1.44,17.31%,29.33%,00:02:50,3.02
smoking cessation,52,1.71,23.08%,16.85%,00:05:46,3.81
smp calculator,52,1.21,1.92%,9.52%,00:09:52,11.87
STATE PENSION AGE,52,1.31,0.00%,11.76%,00:03:02,6.67
survey,52,1.15,13.46%,41.67%,00:01:33,1.71
tax allowance,52,1.12,1.92%,31.03%,00:04:45,2.83
traffic lights,52,1.27,7.69%,28.79%,00:02:10,3.25
u1,52,1.31,25.00%,35.29%,00:01:55,1.98
VACANCIES,52,1.50,13.46%,20.51%,00:02:10,3.02
Winter fuel allowance,52,1.19,1.92%,24.19%,00:03:57,5.04
abu dhabi,51,1.14,9.80%,22.41%,00:04:28,4.53
accessibility,51,1.18,9.80%,35.00%,00:04:04,2.98
antigua,51,1.12,5.88%,40.35%,00:02:38,4.02
bank details,51,1.10,19.61%,50.00%,00:03:35,1.24
Birthday honours,51,1.06,1.96%,11.11%,00:01:40,1.75
bugeting loans,51,1.25,5.88%,10.94%,00:03:56,5.53
change bank account,51,1.22,11.76%,41.94%,00:02:44,2.43
change of address on passport,51,1.27,9.80%,23.08%,00:03:55,2.80
charities,51,1.29,13.73%,31.82%,00:02:41,2.67
child poverty,51,1.61,21.57%,13.41%,00:04:21,3.37
Cleaning,51,1.18,29.41%,13.33%,00:01:48,1.63
community grant,51,1.25,9.80%,17.19%,00:05:00,3.84
company car,51,1.24,7.84%,11.11%,00:03:06,2.90
CONTACT US,51,1.02,25.49%,32.69%,00:01:31,1.65
court fines,51,1.22,9.80%,9.68%,00:04:09,2.43
cqc,51,1.31,11.76%,23.88%,00:03:02,2.31
dental charges,51,1.47,15.69%,29.33%,00:01:36,1.61
DH,51,1.12,7.84%,33.33%,00:05:03,4.84
disability premium,51,1.27,7.84%,35.38%,00:05:21,4.63
disabled parking,51,1.35,11.76%,34.78%,00:03:05,3.18
download,51,1.29,19.61%,45.45%,00:02:59,3.16
Driver CPC,51,1.33,5.88%,16.18%,00:03:21,2.22
DRIVING LICENCE,51,1.14,0.00%,29.31%,00:05:39,2.55
dsa business online,51,1.18,0.00%,3.33%,00:02:13,1.31
dvla local,51,1.16,9.80%,16.95%,00:01:39,2.73
electronic cigarettes,51,1.24,27.45%,22.22%,00:00:55,1.22
ESOL,51,1.41,7.84%,18.06%,00:03:43,3.45
flexible working hours,51,1.37,1.96%,17.14%,00:05:30,4.82
florida,51,1.25,13.73%,32.81%,00:01:34,2.78
gifts,51,1.39,17.65%,38.03%,00:02:57,3.39
government gateway id,51,1.14,9.80%,13.79%,00:05:45,2.49
hazard,51,1.31,21.57%,40.30%,00:01:26,1.71
healthy start vouchers,51,1.22,1.96%,22.58%,00:04:39,4.37
hedges,51,1.33,7.84%,11.76%,00:04:01,2.00
holding number,51,1.27,11.76%,33.85%,00:01:07,1.41
human resources,51,1.27,23.53%,26.15%,00:02:40,2.45
Hungary,51,1.27,13.73%,46.15%,00:03:17,2.63
inf1d,51,1.47,7.84%,34.67%,00:02:43,2.12
licensing act 2003,51,1.43,11.76%,32.88%,00:02:20,1.84
london diplomatic list,51,1.16,7.84%,8.47%,00:10:27,3.47
LSO1 form,51,1.22,15.69%,30.65%,00:03:49,3.98
mortgage rescue,51,1.27,5.88%,15.38%,00:03:48,3.39
nurse prescribing,51,1.73,13.73%,26.14%,00:04:30,2.69
palestine,51,1.12,13.73%,47.37%,00:02:13,2.49
Parental leave,51,1.06,9.80%,44.44%,00:07:20,5.20
pasport,51,1.18,9.80%,26.67%,00:02:41,3.02
passport tracker,51,1.16,5.88%,16.95%,00:02:19,2.96
phillipines,51,1.12,11.76%,68.42%,00:01:16,2.27
police clearance,51,1.24,13.73%,19.05%,00:03:48,2.69
postal import,51,1.08,19.61%,9.09%,00:02:22,1.39
Power of Attorney,51,1.22,9.80%,12.90%,00:06:22,5.24
PR2,51,1.16,11.76%,37.29%,00:04:03,3.59
prince 2,51,1.08,43.14%,34.55%,00:00:37,0.63
redundancy notice,51,1.20,1.96%,21.31%,00:03:52,4.61
remo,51,1.35,3.92%,1.45%,00:05:11,5.82
rest periods,51,1.22,3.92%,40.32%,00:05:02,2.92
safety,51,1.25,9.80%,48.44%,00:01:58,1.43
Scotland,51,1.06,23.53%,44.44%,00:02:10,1.63
Sure start maternity grant,51,1.06,0.00%,29.63%,00:05:00,5.18
tracking application,51,1.12,7.84%,22.81%,00:01:30,1.57
travel visa,51,1.22,11.76%,32.26%,00:02:44,2.31
trinity walk,51,1.08,41.18%,29.09%,00:00:16,1.04
ADIF,50,1.26,24.00%,42.86%,00:01:59,2.10
africa,50,1.74,14.00%,40.23%,00:03:16,2.52
apply for job seekers,50,1.10,10.00%,14.55%,00:04:24,2.66
apprentiship,50,1.10,4.00%,9.09%,00:02:47,2.64
bus lanes,50,1.36,16.00%,25.00%,00:03:33,3.88
cartax,50,1.08,4.00%,20.37%,00:03:02,2.08
cb1,50,1.14,18.00%,45.61%,00:01:10,1.74
change,50,1.32,12.00%,33.33%,00:02:04,1.92
claim benefits,50,1.16,14.00%,31.03%,00:04:26,3.06
claim job seekers,50,1.04,8.00%,5.77%,00:03:02,3.24
claiming jsa,50,1.10,8.00%,10.91%,00:04:39,3.30
counter signatory,50,1.18,10.00%,45.76%,00:02:19,2.16
country profiles,50,1.22,26.00%,34.43%,00:02:22,2.30
court,50,1.30,26.00%,15.38%,00:04:22,2.62
cv templates,50,1.24,48.00%,24.19%,00:01:01,1.20
digital by default,50,1.36,22.00%,27.94%,00:03:49,2.90
digital strategy,50,1.34,22.00%,22.39%,00:07:55,3.26
e-commerce,50,1.38,16.00%,37.68%,00:02:43,2.24
EMA,50,1.50,6.00%,18.67%,00:01:53,3.30
email contact,50,1.12,12.00%,39.29%,00:01:52,2.88
gppaq,50,1.20,6.00%,6.67%,00:01:47,1.64
Hardship,50,1.22,14.00%,27.87%,00:01:54,2.36
high quality care for all,50,1.28,28.00%,42.19%,00:00:47,0.92
hse,50,1.30,4.00%,18.46%,00:02:26,2.24
INF38,50,1.12,14.00%,25.00%,00:04:46,5.06
jersey,50,1.36,26.00%,33.82%,00:01:55,1.34
kyrgyzstan,50,1.14,2.00%,40.35%,00:06:33,4.16
LEGALISATION,50,1.42,0.00%,8.45%,00:06:33,5.64
ma,50,1.04,16.00%,63.46%,00:01:01,1.00
MRSA,50,1.70,26.00%,16.47%,00:02:22,3.62
online business,50,1.16,2.00%,22.41%,00:05:17,2.60
organisation chart,50,1.64,8.00%,43.90%,00:01:55,2.88
pcdl,50,1.12,4.00%,3.57%,00:02:13,3.36
pressure ulcers,50,1.40,18.00%,22.86%,00:03:16,1.98
primary care,50,1.38,18.00%,43.48%,00:03:35,1.44
PSN,50,1.20,6.00%,18.33%,00:06:31,3.14
Renew blue badge,50,1.10,12.00%,12.73%,00:01:53,1.80
renewal of blue badge,50,1.40,10.00%,17.14%,00:04:14,2.64
rent a room,50,1.24,4.00%,11.29%,00:04:28,3.70
sc2,50,1.46,18.00%,31.51%,00:01:53,2.40
scrapping a vehicle,50,1.14,18.00%,21.05%,00:04:50,2.86
st lucia,50,1.24,4.00%,38.71%,00:02:45,3.66
surestart,50,1.34,4.00%,17.91%,00:03:18,4.04
telephone contact,50,1.22,10.00%,29.51%,00:01:25,1.76
temporary contracts,50,1.56,12.00%,21.79%,00:04:05,4.58
THEORY,50,1.24,2.00%,16.13%,00:03:13,2.48
towing a caravan,50,1.12,10.00%,17.86%,00:04:28,2.86
travel advise,50,1.04,2.00%,42.31%,00:04:12,3.80
visa4uk,50,1.32,46.00%,13.64%,00:01:26,1.38
working holiday,50,1.16,42.00%,25.86%,00:02:13,1.52
www.direct.gov.uk,50,1.64,12.00%,25.61%,00:02:47,3.08
6 c's,49,1.24,24.49%,40.98%,00:01:34,0.88
adif,49,1.20,6.12%,44.07%,00:03:15,3.67
advertise a job vacancy,49,1.10,2.04%,11.11%,00:04:12,1.94
agency,49,1.14,12.24%,42.86%,00:04:13,3.10
allowance,49,1.16,10.20%,29.82%,00:05:20,3.65
